S.No	Date	Vehicle No.	W. Slip No.	Truckchit No.	Center Name	DISTRICT	New Bags	Old Bags	Total Bags	Total Quintals	Moisture	Unloading Point
1	27-04-2025	KA56.6348	844	12955	PACS KONYALA	SANGAREDDY	0	719	719	287.6	13.4	OLD GODOWN
2	27-04-2025	KA38A6777	845	12001	PACS KASALA II	SANGAREDDY	0	531	531	212.4	13.5	OLD GODOWN
3	27-04-2025	KA56.2087	846	12051	PACS MADDUR	SANGAREDDY	0	592	592	236.8	13.4	OLD GODOWN
4	28-04-2025	AP23TA1235	847	12002	PACS KASALA I	SANGAREDDY	0	701	701	280.4	13	OLD GODOWN
5	28-04-2025	KA56.6348	848	12957	PACS KONYALA	SANGAREDDY	0	816	816	326.4	13	OLD GODOWN
6	29-04-2025	KA38A6777	849	12150	PACS KASALA II	SANGAREDDY	0	560	560	224	13	OLD GODOWN
7	29-04-2025	AP31TC1059	850	12151	PACS KASALA II	SANGAREDDY	0	734	734	293.6	13.2	OLD GODOWN
8	30-04-2025	KA30.7263	854	12601	PACS BORPATLA I	SANGAREDDY	0	600	600	240	13.2	OLD GODOWN
9	30-04-2025	KA38A6777	855	12152	PACS KASALA I	SANGAREDDY	0	562	562	224.8	13	OLD GODOWN
10	30-04-2025	KA56.6512	856	14353	IKP MANGAPUR	SANGAREDDY	0	804	804	321.6	13.5	OLD GODOWN
11	30-04-2025	KA22B0760	857	12251	PACS CHINTALCHERUVU	SANGAREDDY	0	570	570	228	13.8	OLD GODOWN
12	30-04-2025	KA56.4019	858	12651	PACS HATHNOORA	SANGAREDDY	0	564	564	225.6	13	OLD GODOWN
13	01-05-2025	KA56.6348	859	12961	PACS KONYALA	SANGAREDDY	0	761	761	304.4	12.8	OLD GODOWN
14	01-05-2025	KA56.2087	860	12960	PACS KONYALA	SANGAREDDY	0	605	605	242	12.5	OLD GODOWN
15	01-05-2025	AP31TC1059	862	12154	PACS KASALA I	SANGAREDDY	0	720	720	288	12	OLD GODOWN
16	02-05-2025	KA56.0036	864	12652	PACS HATHNOORA	SANGAREDDY	0	555	555	222	13.2	OLD GODOWN
17	02-05-2025	KA38A6777	865	12155	PACS KASALA I	SANGAREDDY	0	566	566	226.4	12.8	OLD GODOWN
18	02-05-2025	KA56.4040	866	12962	PACS KONYALA	SANGAREDDY	0	684	684	273.6	13	OLD GODOWN
19	02-05-2025	KA56.6512	867	14356	IKP MANGAPUR	SANGAREDDY	0	773	773	309.2	12.5	OLD GODOWN
